"";"beta.sim";"beta.sne";"beta.sor"
"1";NaN;NaN;1
"2";0.212765957446809;0.120567375886525;0.333333333333333
"3";1;0;1
"4";0;0.875;0.875
"5";0.5;0.4375;0.9375
"6";NaN;NaN;1
"7";0.666666666666667;0.106060606060606;0.772727272727273
"8";0.107142857142857;0.168219461697723;0.27536231884058
"9";0.3;0.225423728813559;0.525423728813559
"10";0;0.923076923076923;0.923076923076923
"11";0.6;0.2;0.8
"12";0.0869565217391304;0.374581939799331;0.461538461538462
"13";0.545454545454545;0.0545454545454545;0.6
"14";0.153846153846154;0.367892976588629;0.521739130434783
"15";0.15625;0.208455882352941;0.364705882352941
"16";NaN;NaN;1
"17";NaN;NaN;1
"18";0;0.945945945945946;0.945945945945946
"19";0.217391304347826;0.237154150197628;0.454545454545455
"20";0.0285714285714286;0.404761904761905;0.433333333333333
"21";0.193548387096774;0.112007168458781;0.305555555555556
"22";0.166666666666667;0.320512820512821;0.487179487179487
"23";0.333333333333333;0.56;0.893333333333333
"24";0.222222222222222;0.340277777777778;0.5625
"25";0.2;0.347169811320755;0.547169811320755
"26";0.0555555555555556;0.363247863247863;0.418803418803419
"27";0.666666666666667;0.19047619047619;0.857142857142857
"28";0.34375;0.0100961538461538;0.353846153846154
"29";0.0909090909090909;0.396270396270396;0.487179487179487
"30";NaN;NaN;1
"31";0.285714285714286;0.297619047619048;0.583333333333333
"32";0.228571428571429;0.0416988416988417;0.27027027027027
"33";NaN;NaN;1
"34";1;0;1
